E:/Scott/Data/20231110/images/20231110_P01_t001.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 'skipped', 'anaphase': 0} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P01_t007.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 0, 'anaphase': 2} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P01_t012.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 1, 'metaphase': 3, 'anaphase': 7} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P01_t017.png 1 {'earlyprometaphase': 2, 'lateprometaphase': 5, 'metaphase': 7, 'anaphase': 11} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P01_t058.png 1 {'earlyprometaphase': 4, 'lateprometaphase': 6, 'metaphase': 9, 'anaphase': 13} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P01_t061.png 1 {'earlyprometaphase': 8, 'lateprometaphase': 11, 'metaphase': 13, 'anaphase': 15} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P01_t061.png 2 {'earlyprometaphase': 3, 'lateprometaphase': 7, 'metaphase': 10, 'anaphase': 13} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P01_t061.png 3 {'earlyprometaphase': 5, 'lateprometaphase': 10, 'metaphase': 'skipped', 'anaphase': 'skipped'} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P01_t061.png 4 {'earlyprometaphase': 6, 'lateprometaphase': 12, 'metaphase': 'skipped', 'anaphase': 'skipped'} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P01_t026.png 1 {'earlyprometaphase': 4, 'lateprometaphase': 8, 'metaphase': 10, 'anaphase': 12} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P02_t005.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 'skipped', 'anaphase': 0} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P02_t009.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 0, 'anaphase': 4} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P02_t009.png 2 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 1, 'anaphase': 4} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P02_t014.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 0, 'metaphase': 3, 'anaphase': 8} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P02_t018.png 1 {'earlyprometaphase': 2, 'lateprometaphase': 6, 'metaphase': 9, 'anaphase': 12} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P02_t039.png 1 {'earlyprometaphase': 4, 'lateprometaphase': 7, 'metaphase': 10, 'anaphase': 14} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P02_t049.png 1 {'earlyprometaphase': 5, 'lateprometaphase': 8, 'metaphase': 10, 'anaphase': 14} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P02_t061.png 1 {'earlyprometaphase': 4, 'lateprometaphase': 7, 'metaphase': 9, 'anaphase': 14} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P02_t061.png 2 {'earlyprometaphase': 4, 'lateprometaphase': 'skipped', 'metaphase': 'skipped', 'anaphase': 'skipped'} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P03_t007.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 0, 'anaphase': 2} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P03_t026.png 1 {'earlyprometaphase': 7, 'lateprometaphase': 10, 'metaphase': 13, 'anaphase': 15} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P03_t001.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 'skipped', 'anaphase': 0} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P03_t001.png 2 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 'skipped', 'anaphase': 0} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P03_t001.png 3 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 'skipped', 'anaphase': 0} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P03_t059.png 1 {'earlyprometaphase': 3, 'lateprometaphase': 8, 'metaphase': 10, 'anaphase': 14} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P03_t061.png 1 {'earlyprometaphase': 3, 'lateprometaphase': 7, 'metaphase': 11, 'anaphase': 13} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P03_t061.png 2 {'earlyprometaphase': 5, 'lateprometaphase': 9, 'metaphase': 'skipped', 'anaphase': 'skipped'} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P04_t025.png 1 {'earlyprometaphase': 5, 'lateprometaphase': 7, 'metaphase': 10, 'anaphase': 16} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P04_t033.png 1 {'earlyprometaphase': 3, 'lateprometaphase': 6, 'metaphase': 11, 'anaphase': 11} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P04_t047.png 1 {'earlyprometaphase': 4, 'lateprometaphase': 6, 'metaphase': 9, 'anaphase': 13} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P04_t061.png 1 {'earlyprometaphase': 3, 'lateprometaphase': 6, 'metaphase': 'skipped', 'anaphase': 'skipped'} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P05_t002.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 'skipped', 'anaphase': 0} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P05_t002.png 2 {'earlyprometaphase': 'skipped', 'lateprometaphase': 'skipped', 'metaphase': 'skipped', 'anaphase': 0} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P05_t012.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 0, 'metaphase': 3, 'anaphase': 6} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P05_t019.png 1 {'earlyprometaphase': 3, 'lateprometaphase': 7, 'metaphase': 9, 'anaphase': 11} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P05_t025.png 1 {'earlyprometaphase': 5, 'lateprometaphase': 8, 'metaphase': 11, 'anaphase': 14} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P05_t011.png 1 {'earlyprometaphase': 'skipped', 'lateprometaphase': 0, 'metaphase': 4, 'anaphase': 7} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P05_t020.png 1 {'earlyprometaphase': 4, 'lateprometaphase': 7, 'metaphase': 10, 'anaphase': 12} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P05_t031.png 1 {'earlyprometaphase': 4, 'lateprometaphase': 8, 'metaphase': 10, 'anaphase': 13} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P05_t044.png 1 {'earlyprometaphase': 5, 'lateprometaphase': 7, 'metaphase': 10, 'anaphase': 13} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P05_t053.png 1 {'earlyprometaphase': 6} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P05_t060.png 1 {'earlyprometaphase': 8, 'lateprometaphase': 16, 'metaphase': 30, 'anaphase': 37} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P05_t058.png 1 {'earlyprometaphase': 8, 'lateprometaphase': 11, 'metaphase': 15, 'anaphase': 18} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P05_t061.png 1 {'earlyprometaphase': 6, 'lateprometaphase': 9, 'metaphase': 12, 'anaphase': 15} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
E:/Scott/Data/20231110/images/20231110_P05_t061.png 2 {'earlyprometaphase': 6, 'lateprometaphase': 9, 'metaphase': 14, 'anaphase': 'skipped'} /mnt/Raid_partition_1/internal_tmp/brooks/dockerdir/Github/TrainingData/20231110/user_selections/Scott.xml
