                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.96756,                 3.5602,                 1.0175,                0.36976,                 0.4866,                0.37318,                0.29408,                0.83449,                 2.0202,                 1.0039,              0.0033137,              0.0033137,              0.0033137
                      2,                0.85857,                 1.7391,                0.93912,                0.34341,                0.39962,                0.35036,                0.27695,                0.89391,                  2.096,                 1.0466,              0.0066032,              0.0066032,              0.0066032
                      3,                0.96711,                 1.7439,                 0.9721,                0.30835,                0.44133,                0.28787,                0.20033,                 1.1973,                 2.1349,                  1.229,              0.0098487,              0.0098487,              0.0098487
                      4,                0.98468,                   1.74,                0.98532,                0.32003,                0.38373,                0.30389,                0.20388,                  1.239,                 3.0405,                 1.2604,               0.009802,               0.009802,               0.009802
                      5,                0.90914,                 1.6235,                  0.968,                0.34031,                 0.3377,                0.27755,                0.19803,                 1.3244,                 2.2696,                 1.3127,               0.009736,               0.009736,               0.009736
                      6,                0.86522,                 1.5398,                0.95149,                0.30751,                  0.371,                0.28246,                0.22084,                0.92947,                 2.1736,                 1.1013,                0.00967,                0.00967,                0.00967
                      7,                0.83451,                  1.473,                0.93563,                0.43416,                  0.359,                0.29386,                0.22198,                  1.034,                 2.5408,                 1.1524,               0.009604,               0.009604,               0.009604
                      8,                 0.7927,                 1.4074,                0.92446,                0.41913,                 0.4606,                0.37511,                0.29947,                0.82367,                 1.8213,                 1.0405,               0.009538,               0.009538,               0.009538
                      9,                0.80425,                 1.3842,                0.92593,                0.43146,                0.54027,                0.46711,                0.37493,                0.84865,                 1.6392,                 1.0673,               0.009472,               0.009472,               0.009472
                     10,                0.76915,                 1.3358,                0.90863,                0.46933,                  0.561,                0.48223,                0.40001,                0.87242,                 1.5097,                  1.085,               0.009406,               0.009406,               0.009406
                     11,                0.76621,                 1.2911,                0.90783,                0.36977,                0.46067,                0.39141,                 0.3232,                0.86803,                 1.8899,                 1.0699,                0.00934,                0.00934,                0.00934
                     12,                0.74871,                  1.285,                0.90647,                0.53591,                0.53818,                0.51238,                0.42696,                0.75175,                 1.3594,                0.99459,               0.009274,               0.009274,               0.009274
                     13,                0.74268,                 1.2599,                0.90692,                  0.505,                0.52573,                0.49017,                0.40967,                0.75317,                 1.4646,                0.99702,               0.009208,               0.009208,               0.009208
                     14,                0.73184,                 1.2169,                0.89854,                 0.4576,                0.56597,                0.48077,                0.40311,                0.74839,                 1.4488,                 1.0058,               0.009142,               0.009142,               0.009142
                     15,                0.72162,                 1.2105,                0.89442,                0.47558,                 0.5982,                 0.5054,                0.42919,                 0.7451,                 1.3854,                0.99816,               0.009076,               0.009076,               0.009076
                     16,                0.71205,                 1.1999,                0.89673,                0.41623,                0.47322,                0.41735,                0.35302,                0.74376,                 1.6862,                0.99972,                0.00901,                0.00901,                0.00901
                     17,                0.71382,                 1.1803,                0.89059,                0.51441,                 0.5658,                0.51991,                0.43497,                 0.7519,                 1.4784,                 1.0101,               0.008944,               0.008944,               0.008944
                     18,                0.70934,                 1.1714,                0.89303,                0.52006,                0.49495,                0.48378,                0.40896,                0.74537,                 1.5272,                0.99132,               0.008878,               0.008878,               0.008878
                     19,                0.70374,                 1.1584,                0.89082,                0.50732,                0.57731,                0.52891,                0.45446,                0.66772,                 1.3112,                0.96233,               0.008812,               0.008812,               0.008812
                     20,                0.69042,                 1.1328,                0.88547,                0.46951,                0.47678,                 0.4691,                0.39145,                0.77936,                  1.789,                  1.066,               0.008746,               0.008746,               0.008746
                     21,                0.69049,                  1.107,                0.88867,                0.42911,                0.44532,                0.41205,                0.34866,                 0.7837,                 2.0661,                 1.0222,                0.00868,                0.00868,                0.00868
                     22,                0.68521,                 1.0977,                0.88468,                0.55733,                0.57804,                0.55117,                0.47207,                0.68925,                 1.2716,                0.98574,               0.008614,               0.008614,               0.008614
                     23,                0.68678,                 1.0998,                 0.8844,                 0.5154,                0.55277,                0.52631,                0.45506,                0.70098,                 1.4321,                0.98758,               0.008548,               0.008548,               0.008548
                     24,                0.68349,                 1.0915,                0.88419,                0.55957,                0.57276,                0.55892,                0.48356,                0.67304,                 1.2711,                0.96155,               0.008482,               0.008482,               0.008482
                     25,                0.67694,                 1.0549,                0.88206,                0.53509,                 0.6168,                0.57267,                0.49642,                 0.6593,                 1.2203,                0.96005,               0.008416,               0.008416,               0.008416
                     26,                0.66331,                 1.0586,                0.87449,                0.54443,                0.54646,                0.51873,                0.44487,                0.67635,                 1.4542,                0.96938,                0.00835,                0.00835,                0.00835
                     27,                0.66624,                 1.0507,                0.87515,                0.51434,                0.55548,                0.52801,                0.45919,                0.69164,                 1.4467,                0.97531,               0.008284,               0.008284,               0.008284
                     28,                0.66035,                 1.0425,                0.87521,                0.56218,                0.61438,                0.58999,                0.50593,                0.63782,                 1.1685,                0.95147,               0.008218,               0.008218,               0.008218
                     29,                0.66079,                 1.0173,                0.87301,                0.48778,                0.55125,                0.50182,                0.43549,                0.68782,                 1.4551,                0.98864,               0.008152,               0.008152,               0.008152
                     30,                0.65895,                 1.0266,                0.87273,                0.51269,                0.58591,                0.54841,                0.47114,                0.71137,                 1.3656,                 0.9927,               0.008086,               0.008086,               0.008086
                     31,                0.65403,                 1.0082,                 0.8761,                0.49341,                0.61641,                0.56447,                  0.486,                 0.6493,                 1.2721,                0.96328,                0.00802,                0.00802,                0.00802
                     32,                0.65106,                0.98323,                0.87234,                0.54028,                0.57372,                0.55803,                0.48829,                0.62461,                 1.3177,                0.94433,               0.007954,               0.007954,               0.007954
                     33,                0.65666,                0.98195,                0.87309,                0.56767,                0.59801,                 0.5759,                0.49941,                0.62392,                 1.2129,                0.94756,               0.007888,               0.007888,               0.007888
                     34,                0.64367,                0.99046,                0.86879,                0.53755,                0.62011,                0.59095,                0.50973,                0.64723,                  1.171,                0.95805,               0.007822,               0.007822,               0.007822
                     35,                0.64083,                0.95318,                0.86899,                0.58638,                0.58014,                0.57993,                0.50637,                0.62235,                 1.2487,                0.94661,               0.007756,               0.007756,               0.007756
                     36,                0.64418,                0.94561,                 0.8695,                0.58157,                0.55854,                0.55749,                0.48547,                0.66451,                 1.3778,                0.96616,                0.00769,                0.00769,                0.00769
                     37,                0.65147,                0.94916,                 0.8733,                0.54276,                0.61244,                0.57328,                0.50036,                0.62394,                 1.2741,                0.94749,               0.007624,               0.007624,               0.007624
                     38,                0.63892,                0.94128,                0.86769,                0.60396,                0.58907,                0.60226,                0.52895,                0.60061,                  1.207,                0.94167,               0.007558,               0.007558,               0.007558
                     39,                0.63435,                0.91975,                0.86577,                0.56651,                0.63072,                0.59636,                0.52537,                0.60746,                 1.2131,                 0.9398,               0.007492,               0.007492,               0.007492
