                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                0.94939,                 3.2757,                 1.0241,                0.37131,                  0.515,                0.37405,                0.30617,                0.77419,                 1.7608,                 1.0288,              0.0033152,              0.0033152,              0.0033152
                      2,                0.84964,                 1.6318,                0.94504,                0.54363,                0.45153,                0.37485,                 0.2874,                0.91996,                  1.867,                  1.066,              0.0066047,              0.0066047,              0.0066047
                      3,                0.95242,                 1.6717,                0.97708,                0.32719,                0.40123,                0.27865,                0.18999,                 1.2115,                 2.1783,                 1.2703,              0.0098501,              0.0098501,              0.0098501
                      4,                0.96094,                 1.6424,                0.98306,                0.31235,                0.33275,                0.26084,                0.19923,                 1.0839,                 2.3435,                 1.1648,               0.009802,               0.009802,               0.009802
                      5,                0.90759,                 1.5095,                 0.9716,                0.37149,                0.43656,                0.35443,                0.28016,                0.93378,                 1.8967,                 1.1218,               0.009736,               0.009736,               0.009736
                      6,                0.84508,                 1.4403,                0.94868,                0.46534,                0.48639,                0.45863,                0.36049,                 0.8799,                 1.5763,                 1.0864,                0.00967,                0.00967,                0.00967
                      7,                0.81923,                 1.3822,                0.94104,                0.54795,                0.55746,                0.51048,                0.39344,                0.95652,                 1.4364,                  1.126,               0.009604,               0.009604,               0.009604
                      8,                0.80618,                 1.3342,                0.94173,                0.43296,                0.52139,                0.41565,                0.32034,                0.89727,                 1.6828,                 1.0952,               0.009538,               0.009538,               0.009538
                      9,                0.78076,                 1.2924,                0.92578,                0.53204,                0.54305,                 0.5016,                0.40539,                0.82731,                 1.4697,                 1.0581,               0.009472,               0.009472,               0.009472
                     10,                0.76703,                 1.2573,                0.92443,                0.43409,                0.50662,                0.44878,                0.36813,                0.82928,                 1.5286,                 1.0426,               0.009406,               0.009406,               0.009406
                     11,                0.74657,                 1.2423,                0.91318,                0.45767,                0.57154,                0.47062,                0.38577,                0.75506,                 1.3945,                 1.0063,                0.00934,                0.00934,                0.00934
                     12,                0.74873,                 1.2301,                0.91108,                0.58085,                0.58564,                 0.5921,                0.48905,                0.74793,                 1.1842,                 1.0069,               0.009274,               0.009274,               0.009274
                     13,                0.73051,                 1.1832,                0.90638,                0.52705,                0.57328,                0.55722,                0.47085,                 0.7232,                 1.2263,                 1.0075,               0.009208,               0.009208,               0.009208
                     14,                0.72626,                 1.1463,                0.90801,                 0.6469,                0.51744,                0.56663,                0.47982,                0.69531,                 1.3157,                0.96781,               0.009142,               0.009142,               0.009142
                     15,                0.72206,                 1.1528,                0.90636,                0.51345,                0.55722,                0.54136,                0.46137,                0.68698,                  1.231,                 0.9786,               0.009076,               0.009076,               0.009076
                     16,                0.70747,                 1.1333,                0.89357,                0.42612,                0.44829,                0.41101,                0.34204,                0.82246,                 1.8138,                 1.0474,                0.00901,                0.00901,                0.00901
                     17,                0.70882,                 1.1072,                0.89582,                0.61151,                0.57969,                0.58978,                0.48973,                0.71693,                 1.1399,                0.97924,               0.008944,               0.008944,               0.008944
                     18,                0.69401,                  1.102,                0.89571,                0.53966,                0.61099,                0.56686,                0.48087,                0.69627,                 1.2119,                0.97077,               0.008878,               0.008878,               0.008878
                     19,                0.68936,                 1.0819,                0.89464,                0.47555,                0.52149,                0.48778,                0.40333,                0.81654,                 1.5163,                 1.0522,               0.008812,               0.008812,               0.008812
                     20,                 0.6967,                 1.0735,                0.89701,                0.65553,                0.52574,                0.58421,                0.48301,                0.73939,                 1.3222,                0.99896,               0.008746,               0.008746,               0.008746
                     21,                0.67617,                 1.0534,                0.88511,                0.57004,                0.53117,                0.53315,                0.44792,                0.73681,                 1.2774,                 1.0169,                0.00868,                0.00868,                0.00868
                     22,                 0.6852,                 1.0387,                 0.8869,                0.56637,                0.62458,                0.59476,                0.50443,                0.67205,                 1.1161,                0.97729,               0.008614,               0.008614,               0.008614
                     23,                0.67491,                  1.024,                 0.8846,                 0.6021,                0.60609,                0.61679,                0.51983,                0.66858,                 1.1129,                0.95113,               0.008548,               0.008548,               0.008548
                     24,                0.66874,                 1.0044,                0.88243,                0.57133,                0.54342,                0.53648,                0.45993,                0.65412,                 1.2911,                0.96322,               0.008482,               0.008482,               0.008482
                     25,                0.66593,                 1.0031,                0.88409,                0.49323,                0.51981,                0.50144,                0.42879,                0.69621,                 1.4361,                0.99201,               0.008416,               0.008416,               0.008416
                     26,                0.66911,                0.99036,                0.88382,                0.57783,                0.63186,                0.62114,                 0.5301,                0.64137,                 1.0831,                0.95153,                0.00835,                0.00835,                0.00835
                     27,                0.65978,                0.99443,                0.87895,                0.53981,                0.59767,                0.56758,                0.49301,                0.64002,                 1.2288,                0.95882,               0.008284,               0.008284,               0.008284
                     28,                0.64961,                0.96358,                0.87495,                0.57363,                0.55071,                0.54068,                  0.473,                0.63843,                 1.4268,                0.96334,               0.008218,               0.008218,               0.008218
                     29,                0.65774,                0.96284,                0.87901,                0.53274,                 0.5861,                   0.55,                0.48381,                0.63532,                 1.3151,                0.96189,               0.008152,               0.008152,               0.008152
                     30,                0.65152,                0.96091,                 0.8796,                0.58717,                0.61607,                0.60386,                0.52347,                0.62433,                 1.1293,                0.94516,               0.008086,               0.008086,               0.008086
                     31,                0.64587,                0.93801,                0.87759,                0.57037,                0.59281,                0.57862,                 0.5035,                0.64528,                 1.2112,                0.96544,                0.00802,                0.00802,                0.00802
                     32,                0.64891,                0.92953,                 0.8754,                0.59618,                0.56083,                0.58079,                0.50305,                0.64828,                  1.191,                0.96271,               0.007954,               0.007954,               0.007954
                     33,                 0.6332,                0.91381,                0.86702,                0.59075,                0.57671,                0.58985,                0.51296,                0.64344,                 1.1798,                0.95752,               0.007888,               0.007888,               0.007888
                     34,                0.64398,                0.91802,                0.87656,                0.62365,                 0.5951,                0.62095,                0.53377,                0.63259,                 1.1239,                0.95584,               0.007822,               0.007822,               0.007822
                     35,                0.64047,                0.91283,                0.87835,                0.63571,                0.56503,                0.59691,                0.52067,                0.62306,                 1.1941,                0.96155,               0.007756,               0.007756,               0.007756
                     36,                0.62476,                 0.8859,                0.87019,                0.63213,                0.62418,                0.63325,                0.54837,                0.60118,                 1.1498,                0.94803,                0.00769,                0.00769,                0.00769
                     37,                  0.631,                0.88408,                0.87072,                0.62875,                0.60135,                0.60532,                0.52223,                0.63477,                 1.1897,                0.96179,               0.007624,               0.007624,               0.007624
                     38,                 0.6318,                0.87487,                0.87405,                0.63452,                0.61865,                0.62491,                0.54485,                0.59589,                 1.1676,                0.95407,               0.007558,               0.007558,               0.007558
                     39,                0.62524,                0.88932,                0.86647,                0.57251,                0.65065,                0.62365,                0.54623,                0.58834,                 1.0978,                0.94681,               0.007492,               0.007492,               0.007492
                     40,                0.61088,                0.84029,                0.86511,                0.60364,                0.60222,                0.60545,                0.52997,                0.61985,                 1.2357,                 0.9662,               0.007426,               0.007426,               0.007426
                     41,                0.60937,                0.84836,                0.86335,                0.53475,                0.63089,                0.57661,                0.50487,                0.59458,                 1.2831,                0.94433,                0.00736,                0.00736,                0.00736
                     42,                0.62018,                0.83559,                0.87181,                0.62777,                0.59995,                0.62638,                0.54947,                0.58641,                  1.135,                0.94278,               0.007294,               0.007294,               0.007294
                     43,                0.61312,                0.82924,                0.86583,                0.58638,                0.59914,                0.59838,                0.52562,                0.59399,                 1.2094,                0.94604,               0.007228,               0.007228,               0.007228
                     44,                 0.6151,                0.81478,                0.86359,                0.59821,                0.61525,                0.60428,                0.53384,                0.57537,                 1.2523,                0.94067,               0.007162,               0.007162,               0.007162
                     45,                0.60246,                0.81892,                0.86226,                0.66323,                0.59596,                0.61564,                0.54175,                0.58016,                 1.2335,                 0.9431,               0.007096,               0.007096,               0.007096
                     46,                0.60694,                0.79789,                0.86482,                0.60612,                0.62221,                0.62354,                0.54846,                0.58215,                 1.1649,                0.93945,                0.00703,                0.00703,                0.00703
                     47,                0.60817,                0.79287,                0.85929,                  0.645,                 0.6029,                0.61895,                0.54615,                0.57693,                 1.1888,                0.93481,               0.006964,               0.006964,               0.006964
                     48,                0.60318,                 0.7824,                0.86202,                0.63421,                0.61094,                0.61931,                0.54199,                0.58126,                 1.1851,                0.93831,               0.006898,               0.006898,               0.006898
                     49,                0.59457,                0.76354,                0.85899,                0.59868,                0.62551,                0.61089,                0.53748,                0.58363,                 1.2205,                0.93749,               0.006832,               0.006832,               0.006832
                     50,                0.60206,                0.76586,                0.86001,                 0.6386,                 0.6214,                0.61864,                 0.5413,                0.60035,                 1.1476,                0.94992,               0.006766,               0.006766,               0.006766
                     51,                0.59299,                0.75565,                0.85169,                0.64643,                0.61947,                0.63612,                0.55623,                0.59011,                 1.1427,                0.94927,                 0.0067,                 0.0067,                 0.0067
                     52,                0.59027,                0.74602,                0.85893,                0.61818,                0.63718,                0.63614,                0.55565,                0.59223,                 1.1747,                0.94836,               0.006634,               0.006634,               0.006634
                     53,                0.60266,                0.75309,                0.86196,                  0.614,                0.64038,                0.62452,                0.54867,                0.59047,                 1.2216,                0.94338,               0.006568,               0.006568,               0.006568
                     54,                0.58643,                0.73711,                0.85298,                0.62228,                0.64837,                0.63737,                0.55899,                0.58269,                  1.161,                0.94649,               0.006502,               0.006502,               0.006502
                     55,                0.59413,                0.73334,                0.85713,                0.61314,                0.61998,                0.61617,                0.54253,                0.58093,                 1.2192,                0.94875,               0.006436,               0.006436,               0.006436
                     56,                0.59256,                0.71289,                0.85995,                0.64648,                 0.5875,                0.61255,                0.53777,                0.58331,                 1.2285,                0.94084,                0.00637,                0.00637,                0.00637
                     57,                0.58211,                0.71845,                0.85465,                0.63798,                0.61242,                0.61028,                0.53825,                 0.5849,                 1.2654,                0.94815,               0.006304,               0.006304,               0.006304
                     58,                0.58443,                0.71441,                0.86138,                0.61944,                0.61671,                0.61264,                0.53911,                0.59045,                 1.2977,                0.95244,               0.006238,               0.006238,               0.006238
                     59,                0.58908,                0.70414,                 0.8546,                0.64996,                 0.6039,                0.61732,                0.54666,                0.57236,                 1.2384,                0.94353,               0.006172,               0.006172,               0.006172
                     60,                0.58622,                0.70202,                0.85542,                0.64713,                0.60312,                0.62355,                0.55133,                0.56403,                 1.2111,                0.94148,               0.006106,               0.006106,               0.006106
                     61,                0.58351,                0.69349,                0.85044,                0.65536,                0.58823,                0.61335,                0.54453,                0.57128,                 1.2672,                0.94193,                0.00604,                0.00604,                0.00604
                     62,                0.57555,                0.68682,                0.85424,                0.61364,                0.63048,                0.61683,                0.54695,                0.56891,                 1.2365,                0.94128,               0.005974,               0.005974,               0.005974
                     63,                0.57661,                0.67815,                 0.8519,                0.61975,                0.63346,                0.62605,                0.55569,                0.57625,                 1.2102,                0.94693,               0.005908,               0.005908,               0.005908
                     64,                0.57676,                0.67817,                0.85165,                0.63039,                0.61424,                0.61808,                0.54867,                0.57549,                 1.2342,                0.94626,               0.005842,               0.005842,               0.005842
                     65,                0.57776,                0.66307,                 0.8538,                0.62979,                0.60234,                0.61169,                0.54409,                0.57311,                 1.2527,                0.94356,               0.005776,               0.005776,               0.005776
                     66,                0.57234,                0.65706,                0.85029,                0.64709,                0.59179,                0.61606,                0.54809,                0.57436,                 1.2408,                0.94548,                0.00571,                0.00571,                0.00571
                     67,                0.57212,                0.66479,                0.85069,                0.62183,                0.60045,                 0.6173,                0.54809,                0.57529,                 1.2496,                0.94379,               0.005644,               0.005644,               0.005644
                     68,                 0.5702,                0.65431,                0.84806,                0.59632,                0.62451,                0.61308,                0.54461,                0.57246,                  1.266,                0.94256,               0.005578,               0.005578,               0.005578
