                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 0.9935,                 4.1771,                0.98406,                0.50897,                0.37778,                0.28837,                0.22233,                0.73011,                 3.2143,                 0.7644,               0.003327,               0.003327,               0.003327
                      2,                0.99187,                 2.1205,                0.94875,                0.46142,                0.39544,                 0.3025,                 0.2335,                0.67809,                 2.4131,                0.75087,              0.0066163,              0.0066163,              0.0066163
                      3,                 1.1234,                 2.2053,                0.98122,                0.44802,                0.31863,                0.23889,                0.15923,                 0.9608,                  3.794,                0.86746,              0.0098617,              0.0098617,              0.0098617
                      4,                 1.1044,                 2.2303,                 0.9886,                0.47165,                0.26547,                0.22632,                0.16546,                0.90575,                 3.1217,                0.85798,               0.009802,               0.009802,               0.009802
                      5,                 1.0054,                  2.025,                 0.9575,                0.14811,                0.18725,                0.11627,                0.08617,                0.83187,                 11.158,                0.79879,               0.009736,               0.009736,               0.009736
                      6,                0.93387,                 1.9226,                0.94079,                0.34549,                0.39567,                0.33519,                0.25925,                0.67717,                 1.9843,                 0.7444,                0.00967,                0.00967,                0.00967
                      7,                0.90862,                 1.7857,                0.92957,                0.53558,                0.34822,                0.31965,                0.25336,                0.81345,                 2.1272,                0.79856,               0.009604,               0.009604,               0.009604
                      8,                 0.8648,                 1.7153,                0.92295,                0.34079,                0.25547,                 0.2478,                0.19951,                0.67616,                 2.7293,                0.74155,               0.009538,               0.009538,               0.009538
                      9,                 0.8439,                 1.6742,                0.91379,                0.35466,                0.37998,                0.36001,                0.29478,                0.61492,                 2.1342,                0.73728,               0.009472,               0.009472,               0.009472
                     10,                 0.8175,                 1.6301,                0.90483,                0.39941,                0.47409,                0.43621,                0.35675,                0.58553,                 1.8217,                0.72903,               0.009406,               0.009406,               0.009406
                     11,                0.80101,                  1.587,                0.90268,                0.38688,                0.38825,                0.36733,                0.30576,                0.62769,                 1.9688,                0.73663,                0.00934,                0.00934,                0.00934
                     12,                0.80195,                 1.5575,                0.89746,                0.47017,                 0.5657,                0.45045,                0.37671,                0.56154,                 1.8948,                0.71904,               0.009274,               0.009274,               0.009274
